From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
1500000US060250120011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.48908964
1500000US060250120012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.97584
1500000US060250120012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.26102056
1500000US060250121002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.48472411
1500000US060250121002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,19.94782734
1500000US060250123011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,21.40029658
1500000US060250123011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.01160592
1500000US060250123012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,25.33791455
1500000US060250123012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.9249658
1500000US060250123022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,37.31941325
1500000US060250123022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,47.01245186
1500000US060250123023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,26.32923648
1500000US060250123023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,36.18652455
1500000US060250124001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,29.46260748
1500000US060250124001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,40.80743536
1500000US060259400001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,59.09714206
1500000US060259400001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,59.28184908
1500000US060259400002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,54.43205145
1500000US060259400002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,55.22768692
1500000US060259400003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,52.50575181
1500000US060259400003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,53.68794072
1500000US060250101011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.63288235
1500000US060250101011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,28.7423536
1500000US060250101021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,16.5129218
1500000US060250101021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,28.51390335
1500000US060250101023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.30576417
1500000US060250101023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,23.57429227
1500000US060250102001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.21501207
1500000US060250102001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,20.76784068
1500000US060250102002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,6.74978206
1500000US060250102002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,17.90358286
1500000US060250103001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,9.97955078
1500000US060250103001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,18.10156199
1500000US060250104002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.23865295
1500000US060250104002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.00090188
1500000US060250104003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.02429223
1500000US060250104003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,13.96786322
1500000US060250104005,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.77171915
1500000US060250104005,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.82915679
1500000US060250105001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.29810401
1500000US060250105001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.50031989
1500000US060250105003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,2.1275191
1500000US060250105003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,14.41444178
1500000US060250105004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,1.52061032
