From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,,Total_Miles,Total_Minutes
1500000US060250105003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,15.47604708,21.8644928
1500000US060250105004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,15.00299561,20.43591502
1500000US060250106001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,14.33613603,18.3215681
1500000US060250106002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,14.38406953,18.55713646
1500000US060250106004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.39364482,17.16276242
1500000US060250107001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,14.94406317,20.13837966
1500000US060250107003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,15.3625139,20.55224629
1500000US060250108001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,19.19347324,25.50490789
1500000US060250108002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.06958757,15.33629469
1500000US060250109001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.67787372,14.65052299
1500000US060250109003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,14.07254827,16.18255553
1500000US060250109005,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.3115546,14.66941726
1500000US060250109006,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.58450846,15.01387061
1500000US060250110001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,5.25768297,9.08581818
1500000US060250110003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,4.52093047,7.64219521
1500000US060250110004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,3.92859685,7.54616821
1500000US060250110005,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,6.15475619,10.30907786
1500000US060250110006,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.67191336,15.44799342
1500000US060250111001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,9.95991904,11.57928113
1500000US060250111002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,6.22754065,9.24616847
1500000US060250112011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,2.59937822,4.49493852
1500000US060250112012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,3.36078469,6.82358985
1500000US060250112023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.70169689,3.80832574
1500000US060250113002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,3.40263795,3.6130507
1500000US060250113004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,6.19562395,9.08363001
1500000US060250114001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,2.51795856,7.02704133
1500000US060250114003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,2.1216087,4.91117709
1500000US060250115001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.38968851,3.05712003
1500000US060250115003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.99748478,4.10416902
1500000US060250115004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.96401976,3.94777274
1500000US060250116002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.26503032,2.85736451
1500000US060250116003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.86667823,1.87826087
1500000US060250116004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.87386523,1.99503766
1500000US060250117002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.57664525,1.41551416
1500000US060250117003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.84110082,1.88988941
1500000US060250118012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.41176077,3.061628
1500000US060250118021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.00298861,2.81102755
1500000US060250118022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.74328008,1.76976551
1500000US060250118024,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,0.44994825,1.0806761
1500000US060250118031,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,2.06248622,3.90944366
1500000US060250119001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,7.15664342,10.18835949
1500000US060250119002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,17.32239843,18.11038362
1500000US060250119003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,11.18127339,12.28267752
1500000US060250120021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,13.03451134,15.51327634
1500000US060250120022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,11.99895633,14.44483925
1500000US060250121001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,11.39190337,12.44692112
1500000US060250121003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,12.12164286,14.6116186
1500000US060250113001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,6.81985019,7.32039814
1500000US060250112021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,1.34857258,2.641506
1500000US060250112022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,,2.09089507,4.14292068
