GEO_ID,,Long,Lat,BLKGRP,CENSUSAREA,ORIG_FID,LSAD
1500000US060250121004,,-115.4995286,32.68290281,4,0.403,1,BG
1500000US060250122001,,-115.5078323,32.67658799,1,0.68300003,2,BG
1500000US060250122002,,-115.5177951,32.68219846,2,0.223,3,BG
1500000US060250122003,,-115.5177743,32.66810514,3,0.94400001,4,BG
1500000US060250122004,,-115.514964,32.6767797,4,0.154,5,BG
1500000US060250123021,,-116.0233611,33.41206006,1,1.85699999,6,BG
1500000US060250124002,,-115.0076965,33.08155538,2,2184.525879,7,BG
1500000US060250101022,,-115.5083581,33.12196814,2,0.61900002,8,BG
1500000US060250101024,,-115.5178873,33.12938483,4,0.56900001,9,BG
1500000US060250104001,,-115.5206041,32.98298917,1,0.168,10,BG
1500000US060250104004,,-115.5162098,32.99089652,4,1.15600002,11,BG
1500000US060250105002,,-115.5392115,32.98082967,2,0.15700001,12,BG
1500000US060250106003,,-115.5516993,32.97524655,3,0.405,13,BG
1500000US060250107002,,-115.5207928,32.97443949,2,0.183,14,BG
1500000US060250109002,,-115.3666735,32.81748041,2,0.215,15,BG
1500000US060250109004,,-115.3833666,32.81653267,4,0.2,16,BG
1500000US060250110002,,-115.5669419,32.85077256,2,0.28099999,17,BG
1500000US060250111003,,-115.6904107,32.79328427,3,0.46700001,18,BG
1500000US060250113003,,-115.5308307,32.73404791,3,0.20999999,19,BG
1500000US060250114002,,-115.5503308,32.78606257,2,0.177,20,BG
1500000US060250115002,,-115.5657168,32.79822459,2,0.114,21,BG
1500000US060250116001,,-115.5654562,32.78405141,1,0.17,22,BG
1500000US060250117001,,-115.5495665,32.77752135,1,0.292,23,BG
1500000US060250118011,,-115.5822287,32.78509632,1,0.214,24,BG
1500000US060250118023,,-115.5719731,32.78716477,3,0.26800001,25,BG
1500000US060250120011,,-115.486245,32.66754838,1,0.153,26,BG
1500000US060250120012,,-115.486645,32.67086236,2,0.068,27,BG
1500000US060250121002,,-115.4972241,32.67385955,2,0.219,28,BG
1500000US060250123011,,-115.9219926,32.93333946,1,907.9450073,29,BG
1500000US060250123012,,-116.0026594,32.7451488,2,7.9829998,30,BG
1500000US060250123022,,-115.9663194,33.37760856,2,10.11800003,31,BG
1500000US060250123023,,-115.8484619,33.2519976,3,52.66999817,32,BG
1500000US060250124001,,-115.7542684,33.35399917,1,44.46099854,33,BG
1500000US060259400001,,-114.5512384,32.79550713,1,26.9470005,34,BG
1500000US060259400002,,-114.6318865,32.76201055,2,12.3579998,35,BG
1500000US060259400003,,-114.6661056,32.74152802,3,4.71400023,36,BG
1500000US060250101011,,-115.4691348,33.19099463,1,146.3990021,37,BG
1500000US060250101021,,-115.6174561,33.19412479,1,88.68699646,38,BG
1500000US060250101023,,-115.5209643,33.12197032,3,0.41600001,39,BG
1500000US060250102001,,-115.6716854,33.07074852,1,71.91300201,40,BG
1500000US060250102002,,-115.6258722,33.03735122,2,0.49599999,41,BG
1500000US060250103001,,-115.3873461,32.99574914,1,180.5440064,42,BG
1500000US060250104002,,-115.525636,32.98184922,2,0.16500001,43,BG
1500000US060250104003,,-115.5313053,32.98217045,3,0.15800001,44,BG
1500000US060250104005,,-115.5299028,32.99466303,5,0.73500001,45,BG
1500000US060250105001,,-115.5392791,32.99091145,1,0.542,46,BG
1500000US060250105003,,-115.5473987,32.99035511,3,0.382,47,BG
1500000US060250105004,,-115.550421,32.98183453,4,0.31999999,48,BG
1500000US060250106001,,-115.5392723,32.97523432,1,0.236,49,BG
1500000US060250106002,,-115.5350956,32.97070645,2,0.31999999,50,BG
1500000US060250106004,,-115.5565357,32.96089919,4,2.37899995,51,BG
1500000US060250107001,,-115.5272752,32.97471426,1,0.234,52,BG
1500000US060250107003,,-115.5225026,32.96355871,3,1.76400006,53,BG
