Long,Lat,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,Shape__Area,Shape__Length,ORIG_FID
-115.49952860615223,32.68290280931325,1500000US060250121004,6,25,12100,4,4,BG,0.403,,,1
-115.507832266126,32.676587990481714,1500000US060250122001,6,25,12200,1,1,BG,0.68300003,,,2
-115.51779510993795,32.68219846482282,1500000US060250122002,6,25,12200,2,2,BG,0.223,,,3
-115.51777425824358,32.668105139269244,1500000US060250122003,6,25,12200,3,3,BG,0.94400001,,,4
-115.51496404057396,32.67677969526676,1500000US060250122004,6,25,12200,4,4,BG,0.154,,,5
-116.02336107326519,33.41206005638735,1500000US060250123021,6,25,12302,1,1,BG,1.85699999,,,6
-115.00769650640183,33.08155538293908,1500000US060250124002,6,25,12400,2,2,BG,2184.52587891,,,7
-115.50835813989332,33.12196814021157,1500000US060250101022,6,25,10102,2,2,BG,0.61900002,,,8
-115.51788734984964,33.12938483458505,1500000US060250101024,6,25,10102,4,4,BG,0.56900001,,,9
-115.52060405289818,32.982989173528885,1500000US060250104001,6,25,10400,1,1,BG,0.168,,,10
-115.51620981343018,32.99089651688954,1500000US060250104004,6,25,10400,4,4,BG,1.15600002,,,11
-115.53921154997923,32.98082967322406,1500000US060250105002,6,25,10500,2,2,BG,0.15700001,,,12
-115.55169934156088,32.97524655271839,1500000US060250106003,6,25,10600,3,3,BG,0.405,,,13
-115.52079278804106,32.97443948812679,1500000US060250107002,6,25,10700,2,2,BG,0.183,,,14
-115.36667351676392,32.8174804111597,1500000US060250109002,6,25,10900,2,2,BG,0.215,,,15
-115.38336659438005,32.8165326711442,1500000US060250109004,6,25,10900,4,4,BG,0.2,,,16
-115.5669418663686,32.850772558059354,1500000US060250110002,6,25,11000,2,2,BG,0.28099999,,,17
-115.69041070998308,32.793284274136056,1500000US060250111003,6,25,11100,3,3,BG,0.46700001,,,18
-115.53083070406132,32.73404791225447,1500000US060250113003,6,25,11300,3,3,BG,0.20999999,,,19
-115.55033083098904,32.78606257445672,1500000US060250114002,6,25,11400,2,2,BG,0.177,,,20
-115.56571679518808,32.798224590576176,1500000US060250115002,6,25,11500,2,2,BG,0.114,,,21
-115.56545620380562,32.78405141111821,1500000US060250116001,6,25,11600,1,1,BG,0.17,,,22
-115.54956651470091,32.77752135211587,1500000US060250117001,6,25,11700,1,1,BG,0.292,,,23
-115.58222870327266,32.78509631751851,1500000US060250118011,6,25,11801,1,1,BG,0.214,,,24
-115.57197312635738,32.78716477488026,1500000US060250118023,6,25,11802,3,3,BG,0.26800001,,,25
-115.48624502400986,32.66754838171703,1500000US060250120011,6,25,12001,1,1,BG,0.153,,,26
-115.48664503931431,32.67086235772955,1500000US060250120012,6,25,12001,2,2,BG,0.068,,,27
-115.49722410585159,32.67385955135795,1500000US060250121002,6,25,12100,2,2,BG,0.219,,,28
-115.92199257149082,32.93333946422839,1500000US060250123011,6,25,12301,1,1,BG,907.94500732,,,29
-116.0026593885595,32.74514879575945,1500000US060250123012,6,25,12301,2,2,BG,7.9829998,,,30
-115.96631943253588,33.377608556827546,1500000US060250123022,6,25,12302,2,2,BG,10.11800003,,,31
-115.84846193151331,33.251997598175905,1500000US060250123023,6,25,12302,3,3,BG,52.66999817,,,32
-115.75426844459311,33.3539991686315,1500000US060250124001,6,25,12400,1,1,BG,44.46099854,,,33
-114.55123837101239,32.79550712956975,1500000US060259400001,6,25,940000,1,1,BG,26.9470005,,,34
-114.63188645191921,32.76201055436167,1500000US060259400002,6,25,940000,2,2,BG,12.3579998,,,35
-114.66610556281213,32.74152801759143,1500000US060259400003,6,25,940000,3,3,BG,4.71400023,,,36
