NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Minutes,To_ID,From_ID,RouteLayerItemID,RouteLayerItemURL,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates
1,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:38:39,2020-07-29 10:31:53,2020-07-29 10:38:39,3.1099594,6.77209547,1,10,,,1500000US060250104001,6,25,10400,1,1,BG,0.168,,,10,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:53:06,2020-07-29 10:31:53,2020-07-29 10:53:06.000001,19.66679231,21.2240184,2,10,,,1500000US060250104001,6,25,10400,1,1,BG,0.168,,,10,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,4 - Location 1,2020-07-29 03:31:53,2020-07-29 03:40:20,2020-07-29 10:31:53,2020-07-29 10:40:20,3.87609765,8.45689742,1,11,,,1500000US060250104004,6,25,10400,4,4,BG,1.15600002,,,11,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,4 - Location 2,2020-07-29 03:31:53,2020-07-29 03:54:00,2020-07-29 10:31:53,2020-07-29 10:54:00.000001,20.04910315,22.11089267,2,11,,,1500000US060250104004,6,25,10400,4,4,BG,1.15600002,,,11,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:35:40,2020-07-29 10:31:53,2020-07-29 10:35:40.000001,1.939407,3.79074676,1,12,,,1500000US060250105002,6,25,10500,2,2,BG,0.15700001,,,12,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:51:06,2020-07-29 10:31:53,2020-07-29 10:51:06,14.72273809,19.22370663,2,12,,,1500000US060250105002,6,25,10500,2,2,BG,0.15700001,,,12,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,3 - Location 1,2020-07-29 03:31:53,2020-07-29 03:35:20,2020-07-29 10:31:53,2020-07-29 10:35:20,1.21871041,3.44164409,1,13,,,1500000US060250106003,6,25,10600,3,3,BG,0.405,,,13,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,3 - Location 2,2020-07-29 03:31:53,2020-07-29 03:51:06,2020-07-29 10:31:53,2020-07-29 10:51:06,14.55586952,19.20884692,2,13,,,1500000US060250106003,6,25,10600,3,3,BG,0.405,,,13,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
1,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:37:25,2020-07-29 10:31:53,2020-07-29 10:37:25.000001,2.5544786,5.53603001,1,14,,,1500000US060250107002,6,25,10700,2,2,BG,0.183,,,14,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
2,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:52:18,2020-07-29 10:31:53,2020-07-29 10:52:18,19.0717418,20.41078924,2,14,,,1500000US060250107002,6,25,10700,2,2,BG,0.183,,,14,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
